,Название тура,Цена,Локация,Приб/отб,Рейтинг,Кол-во оценок,Сложность,Комфорт,Url,Тэги,Длительность,Место прожив.,Размер группы,Мин. возраст,Место встречи
2_8,Кавказ стал ближе,35211,Кавказ,"['2024-05-14', '2024-05-18']",5,95,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kavkaz/kavkaz-stal-blizhe-196638,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2_9,От бурного Терека до седого Каспия,63050,Кавказ,"['2024-05-15', '2024-05-23']",5,81,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/ot-burnogo-tereka-do-sedogo-kaspiya-227390,['Экскурсионные туры'],9 дней,Гостиница,До 36 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2_10,Кавказский антидепрессант,59900,Чечня,"['2024-05-15', '2024-05-19']",5,113,0.25,"Простой
Выше среднего",https://bolshayastrana.com/chechnya/kavkazskij-antidepressant-69113,['Экскурсионные туры'],5 дней,Гостевой дом,До 16 человек,12 лет,"Россия, Чеченская Республика, Грозный"
2_11,Знакомство с Карелией,25900,Карелия,"['2024-05-15', '2024-05-17']",5,238,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kareliya/znakomstvo-s-kareliej-17537,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,5 лет,г. Петрозаводск
2_12,"Отдых в Дагестане по-кавказски: 3 дня, все включено!",26100,Дагестан,"['2024-05-16', '2024-05-18']",5,25,0.5,Средний,https://bolshayastrana.com/dagestan/otdyh-v-dagestane-po-kavkazski-3-dnya-vse-vklyucheno-245395,"['Экскурсионные туры', 'Джип-туры']",3 дня,Гостиница или Турбаза,До 14 человек,6 лет,"Республика Дагестан, Карабудахкентский район, аэропорт Махачкала (Уйташ)"
2_13,Большой тур по Дагестану,63000,Дагестан,"['2024-05-16', '2024-05-20']",5,113,0.25,Простой,https://bolshayastrana.com/dagestan/bolshoj-tur-po-dagestanu-244950,['Экскурсионные туры'],5 дней,Гостевой дом,До 10 человек,4 года,"Россия, Республика Дагестан, Махачкала"
2_14,Осетия стала ближе,36885,Северная Осетия,"['2024-05-16', '2024-05-20']",5,80,0.25,"Средний
Выше среднего",https://bolshayastrana.com/severnaya-osetiya/osetiya-stala-blizhe-239579,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2_15,"Океан, киты, Териберка",59800,Кольский полуостров,"['2024-05-16', '2024-05-18']",5,164,0.25,"Простой
Средний
Высокий",https://bolshayastrana.com/kolskij-poluostrov/okean-kity-teriberka-79672,['Экскурсионные туры'],3 дня,Гостиница,До 17 человек,6 лет,Мурманск
2_16,Загадочная Осетия,21583,Северная Осетия,"['2024-05-16', '2024-05-19']",5,90,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/severnaya-osetiya/zagadochnaya-osetiya-101749,['Экскурсионные туры'],4 дня,Гостиница,До 40 человек,7 лет,"Республика Северная Осетия — Алания, Владикавказ"
2_17,Национальный Маршрут Республики Северная Осетия-Алания,31950,Северная Осетия,"['2024-05-16', '2024-05-19']",5,89,0.25,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/nacionalnyj-marshrut-132660,['Экскурсионные туры'],4 дня,Гостиница,До 40 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2_18,Селфи тур по Дагестану,51000,Дагестан,"['2024-05-16', '2024-05-19']",5,118,0.25,Простой,https://bolshayastrana.com/dagestan/selfi-tur-po-dagestanu-68527,['Экскурсионные туры'],4 дня,Гостевой дом,До 16 человек,12 лет,"Россия, Республика Дагестан, Махачкала"
2_19,Чудеса Ольхонской земли,45000,Байкал,"['2024-05-17', '2024-05-20']",4.9,171,0.25,Средний,https://bolshayastrana.com/bajkal/chudesa-olhonskoj-zemli-248879,['Экскурсионные туры'],4 дня,Турбаза,До 18 человек,5 лет,Иркутск
2_20,Конный тур «Выходные в седле» на Кавказе,34500,Ставропольский край,"['2024-05-17', '2024-05-19']",4.9,188,0.75,Средний,https://bolshayastrana.com/stavropolskij-kraj/konnyj-tur-vyhodnogo-dnya-vyhodnye-v-sedle-233806,"['Комбинированные туры', 'Конные туры', 'Экскурсионные туры']",3 дня,Турбаза,До 10 человек,10 лет,110 кг
2_21,Кольский полуостров. Навстречу китам,30900,Кольский полуостров,"['2024-05-17', '2024-05-19']",5,91,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kolskij-poluostrov/kolskij-poluostrov-navstrechu-kitam-233315,['Экскурсионные туры'],3 дня,Гостиница,До 18 человек,5 лет,Мурманск
3_0,Скалолазный ретрит на Водах. Активный тур на Кавказе,40000,Кавказ,"['2024-05-17', '2024-05-20']",5,68,0.5,Выше среднего,https://bolshayastrana.com/kislovodsk/skalolaznyj-retrit-na-vodah-aktivnyj-tur-na-kavkaze-227323,"['Комбинированные туры', 'Экскурсионные туры', 'Каньонинг']",4 дня,Гостиница,До 8 человек,7 лет,г. Минеральные Воды
3_1,Экскурсионно-термальный тур на Кавказ!,58000,Ингушетия,"['2024-05-17', '2024-05-24']",5,115,0.25,Средний,https://bolshayastrana.com/ingushetiya/ehkskursionno-termalnyj-tur-na-kavkaz--68718,['Экскурсионные туры'],8 дней,Гостевой дом,До 16 человек,5 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_2,В гостях у горцев. Летнее путешествие в Чечню,48500,Кавказ,"['2024-05-17', '2024-05-21']",5,68,0.25,Выше среднего,https://bolshayastrana.com/chechnya/v-gostyah-u-gorcev-letnee-puteshestvie-v-chechnyu-114954,['Экскурсионные туры'],5 дней,Гостиница,До 16 человек,8 лет,"Чеченская Республика, Грозный"
3_3,4 республики и 1001 впечатление! Экспресс-тур по Кавказу,75000,Кавказ,"['2024-05-17', '2024-05-24']",5,117,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/kavkaz/4-respubliki-i-1001-vpechatlenie-ehkspress-tur-po-kavkazu-124666,['Экскурсионные туры'],8 дней,Гостиница или Гостевой дом,До 16 человек,3 года,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_6,Экскурсионный тур в Дагестан «Чудеса на выходные»,36500,Дагестан,"['2024-05-17', '2024-05-19']",4.9,190,0.25,Выше среднего,https://bolshayastrana.com/dagestan/ehkskursionnyj-tur-v-dagestan-chudesa-na-vyhodnye-76482,['Экскурсионные туры'],3 дня,Гостиница,До 14 человек,5 лет,"Россия, Республика Дагестан, Махачкала"
3_7,Выходные на водах Кавказа,28000,Карачаево-Черкесия,"['2024-05-17', '2024-05-19']",5,68,0.25,Выше среднего,https://bolshayastrana.com/stavropolskij-kraj/vyhodnye-na-vodah-kavkaza-105806,['Экскурсионные туры'],3 дня,Гостиница,До 35 человек,8 лет,"Ставропольский край, Минеральные Воды"
3_8,Кавказская мозаика,65000,Кавказ,"['2024-05-17', '2024-05-23']",5,128,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/kavkaz/kavkazskaya-mozaika-130144,['Экскурсионные туры'],7 дней,Гостиница или Гостевой дом,До 16 человек,3 года,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_10,5 счастливых дней на Кавказе,36000,Кавказ,"['2024-05-17', '2024-05-21']",5,126,0.25,Средний,https://bolshayastrana.com/kavkaz/5-schastlivyh-dnej-na-kavkaze-51811,['Экскурсионные туры'],5 дней,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_11,Релакс-тур на Кавказ,45000,Ингушетия,"['2024-05-17', '2024-05-21']",5,123,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/relaks-tur-na-kavkaz-58625,['Экскурсионные туры'],5 дней,Гостиница или Гостевой дом,До 16 человек,2 года,"Россия, Республика Северная Осетия — Алания, аэропорт Владикавказ (Беслан)"
3_12,Тур на выходные. Открой Ингушетию за 3 дня,29500,Ингушетия,"['2024-05-17', '2024-05-19']",5,114,0.25,Средний,https://bolshayastrana.com/ingushetiya/gory-siti-23050,['Экскурсионные туры'],3 дня,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_13,"Кавказ. Катаемся, впечатляемся, объедаемся!",49000,Ингушетия,"['2024-05-17', '2024-05-21']",5,129,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/kavkaz-kataemsya-vpechatlyaemsya-obedaemsya--23048,['Экскурсионные туры'],5 дней,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_14,"Великолепие гор, кавказская кухня и тёплая компания",51000,Ингушетия,"['2024-05-17', '2024-05-22']",5,114,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/velikolepie-gor-kavkazskaya-kuhnya-i-tyoplaya-kompaniya-23047,['Экскурсионные туры'],6 дней,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_15,4 ярких впечатления от Северного Кавказа с Южным горячим сердцем,49900,Ингушетия,"['2024-05-17', '2024-05-22']",5,123,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/4-yarkih-vpechatleniya-ot-severnogo-kavkaza-s-yuzhnym-goryachim-serdcem-23044,['Экскурсионные туры'],6 дней,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
3_16,Тайны древнего Дербента,37500,Дагестан,"['2024-05-17', '2024-05-19']",5,70,0.25,Выше среднего,https://bolshayastrana.com/dagestan/tajny-drevnego-derbenta-17496,['Экскурсионные туры'],3 дня,Гостиница,До 10 человек,10 лет,г. Махачкала
3_17,Восточные краски Дагестана. Этнографический тур,99000,Дагестан,"['2024-05-17', '2024-05-23']",5,69,0.25,Выше среднего,https://bolshayastrana.com/dagestan/vostochnye-kraski-dagestana-17493,['Экскурсионные туры'],7 дней,Гостиница,До 10 человек,12 лет,г. Махачкала
3_18,Калейдоскоп времён. Экскурсионный тур по Кавказу,79250,Домбай,"['2024-05-18', '2024-05-25']",4.9,191,0.25,Средний,https://bolshayastrana.com/dombaj/kalejdoskop-vremyon-ehkskursionnyj-tur-po-kavkazu-109751,['Экскурсионные туры'],8 дней,Гостиница,До 14 человек,5 лет,г. Минеральные Воды
3_19,Архипелаг скалистых островов. Пеший треккинг тур на Кавказе,93700,Кавказ,"['2024-05-18', '2024-05-29']",4.9,189,0.5,Выше среднего,https://bolshayastrana.com/kavkaz/aripelag-skalisty-ostrovov-peshij-trekking-tur-18629,"['Комбинированные туры', 'Пешие туры', 'Восхождения']",12 дней,Гостиница,До 12 человек,12 лет,г. Минеральные Воды
3_20,Притяжение Эльбруса. Треккинговый тур,73200,Эльбрус,"['2024-05-18', '2024-05-25']",4.9,192,0.75,Выше среднего,https://bolshayastrana.com/ehlbrus/prityazhenie-ehlbrusa-trekkingovyj-tur-16875,"['Комбинированные туры', 'Пешие туры', 'Восхождения']",8 дней,Гостиница,До 12 человек,7 лет,г. Минеральные Воды
3_21,Чарующий Архыз. Треккинг тур,85920,Кавказ,"['2024-05-18', '2024-05-25']",4.9,195,0.5,Выше среднего,https://bolshayastrana.com/kavkaz/charuyushchij-arhyz-trekking-tur-16617,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",8 дней,Гостиница,До 12 человек,6 лет,Минеральные Воды
4_0,Курортный роман. Экскурсионный тур на Северном Кавказе,75250,Эльбрус,"['2024-05-18', '2024-05-25']",4.9,231,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/kurortnyj-roman-ehkskursionnyj-tur-na-severnom-kavkaze-16528,['Экскурсионные туры'],8 дней,Гостиница,До 16 человек,5 лет,г. Минеральные Воды
4_1,Домбай и его окрестности. Треккинговый тур,54350,Домбай,"['2024-05-18', '2024-05-25']",4.9,210,0.5,Выше среднего,https://bolshayastrana.com/dombaj/dombaj-i-ego-okrestnosti-trekkingovyj-tur-16388,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",8 дней,Гостиница,До 15 человек,6 лет,г. Минеральные воды
4_3,Радуга Горного Алтая. Тур-комфорт,80000,Алтай,"['2024-05-19', '2024-05-25']",4.9,186,0.5,Простой,https://bolshayastrana.com/altaj/raduga-gornogo-altaya-tur-komfort-76673,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",7 дней,Турбаза,До 14 человек,7 лет,"Россия, Республика Алтай, Майминский район, село Манжерок"
4_6,Пять колец Кавказа. Экскурсионный тур,49158,Кавказ,"['2024-05-19', '2024-05-25']",4.9,110,0.25,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/severnaya-osetiya/ehkskursionnyj-tur-po-severnomu-kavkazu-pyat-kolec-kavkaza--179805,['Экскурсионные туры'],7 дней,Гостиница,До 20 человек,12 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
4_7,Очарование Ольхона. Сокращенная программа,33700,Байкал,"['2024-05-19', '2024-05-23']",5,574,0.25,Простой,https://bolshayastrana.com/bajkal/ocharovanie-olhona-sokrashchennaya-programma-16905,['Экскурсионные туры'],5 дней,Турбаза или Гостиница,До 15 человек,5 лет,г. Иркутск
4_8,Очарование Ольхона,40900,Байкал,"['2024-05-19', '2024-05-24']",5,603,0.25,"Простой
Средний",https://bolshayastrana.com/bajkal/ocharovanie-olhona-16821,['Экскурсионные туры'],6 дней,Турбаза или Гостиница,До 15 человек,5 лет,г. Иркутск
4_9,Завораживающий Дагестан,99500,Дагестан,"['2024-05-19', '2024-05-26']",4.9,211,0.5,Выше среднего,https://bolshayastrana.com/dagestan/zavorazhivayushchij-dagestan-16732,['Экскурсионные туры'],8 дней,Гостиница,До 14 человек,8 лет,г. Махачкала
4_10,Джигитовка для начинающих. Конный тур,83400,Домбай,"['2024-05-19', '2024-05-26']",4.9,208,0.75,Средний,https://bolshayastrana.com/kavkaz/dombaj-i-teberda-konnye-progulki-trekking-i-termalnye-istochniki-16610,"['Комбинированные туры', 'Конные туры', 'Экскурсионные туры']",8 дней,Турбаза,До 10 человек,12 лет,110 кг
4_11,Турне за сокровищами по республикам Северного Кавказа,145000,Дагестан,"['2024-05-19', '2024-05-30']",4.9,213,0.5,"Средний
Выше среднего",https://bolshayastrana.com/kavkaz/turne-za-sokrovishchami-po-respublikam-severnogo-kavkaza-16605,['Экскурсионные туры'],12 дней,Гостиница,До 13 человек,10 лет,г. Махачкала
4_12,Горный Дагестан – тропой Императора. Треккинг,94000,Дагестан,"['2024-05-19', '2024-05-26']",4.9,209,0.75,"Простой
Средний",https://bolshayastrana.com/dagestan/gornyj-dagestan-tropoj-imperatora-trekking-16598,"['Комбинированные туры', 'Пешие туры', 'Экскурсионные туры']",8 дней,Гостиница,До 12 человек,12 лет,г. Махачкала
4_13,Камчатский весенний микс,77000,Камчатка,"['2024-05-19', '2024-05-25']",5,83,0.5,"Средний
Выше среднего
Высокий",https://bolshayastrana.com/kamchatka/kamchatskij-vesennij-miks-16556,['Экскурсионные туры'],7 дней,Гостиница,До 24 человек,12 лет,г. Петропавловск-Камчатский
4_14,Экстремальный джип-тур по Северному Кавказу,116100,Эльбрус,"['2024-05-19', '2024-05-26']",4.9,190,0.75,"Базовый
Средний",https://bolshayastrana.com/kavkaz/cherez-ternii-k-zvezdam-dzhip-tur-po-karachaevo-cherkesii-i-kabardino-balkarii-16420,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры', 'Пешие туры', 'Экспедиции']",8 дней,Гостиница,До 12 человек,12 лет,г. Минеральные Воды
4_15,Сказания Севера: Карелия,39900,Карелия,"['2024-05-20', '2024-05-23']",5,185,0.25,Высокий,https://bolshayastrana.com/kareliya/skazaniya-severa-243070,['Экскурсионные туры'],4 дня,Гостиница,До 50 человек,4 года,"Республика Карелия, Сортавала"
4_16,«Сказания Севера» и Соловки,74400,Карелия,"['2024-05-20', '2024-05-25']",5,191,0.25,Средний,https://bolshayastrana.com/kareliya/skazaniya-severa-i-solovki-61657,['Экскурсионные туры'],6 дней,Гостиница,До 50 человек,4 года,"Россия, Республика Карелия, Сортавала"
4_17,Величие гор Ингушетии,54800,Ингушетия,"['2024-05-20', '2024-05-25']",5,72,0.75,"Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/velichie-gor-ingushetii-16975,"['Комбинированные туры', 'Экскурсионные туры', 'Пешие туры', 'Джип-туры']",6 дней,Гостиница,До 12 человек,12 лет,г. Назрань
4_18,Выходные в городе солнца. Активный тур в Кисловодск,32000,Кавказ,"['2024-05-23', '2024-05-26']",5,67,0.5,Выше среднего,https://bolshayastrana.com/kislovodsk/vyhodnye-v-gorode-solnca-aktivnyj-tur-v-kislovodske-227330,"['Комбинированные туры', 'Экскурсионные туры', 'Фитнес и йога-туры', 'Туры на квадроциклах', 'Велотуры']",4 дня,Гостиница,До 8 человек,12 лет,г. Минеральные Воды
4_19,Выходные в равновесии. Спа-тур на Кавказе,43000,Домбай,"['2024-05-23', '2024-05-26']",4.9,69,0.25,Выше среднего,https://bolshayastrana.com/kavkaz/vyhodnye-v-ravnovesii-spa-tur-227277,['Экскурсионные туры'],4 дня,Гостиница,До 35 человек,8 лет,"Ставропольский край, Минеральные Воды"
4_20,Многоликий Алтай,59000,Алтай,"['2024-05-23', '2024-05-27']",4.9,184,0.25,Средний,https://bolshayastrana.com/altaj/mnogolikij-altaj-185481,['Экскурсионные туры'],5 дней,Гостиница,До 14 человек,6 лет,село Манжерок
4_21,Соловки: заглянуть в вечность. Экскурсионный тур,34500,Архангельская область,"['2024-05-23', '2024-05-25']",5,188,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/solovki-zaglyanut-v-vechnost-ehkskursionnyj-tur-17536,['Экскурсионные туры'],3 дня,Гостиница,До 50 человек,4 года,г. Петрозаводск
5_0,Ожерелье Кавказских Минеральных Вод. Весеннее путешествие,57800,Кавказ,"['2024-05-26', '2024-05-31']",5,67,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/kavkaz/ozherele-kavkazskih-mineralnyh-vod-vesennee-puteshestvie-244147,['Экскурсионные туры'],6 дней,Гостиница,До 16 человек,10 лет,"Ставропольский край, Минеральные Воды"
5_1,Через тернии к звездам. Джип-тур по Кавказу,105000,Домбай,"['2024-05-26', '2024-06-02']",4.9,189,0.75,Средний,https://bolshayastrana.com/dombaj/cherez-ternii-k-zvezdam-dzhiptur-po-kavkazu-18648,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры', 'Пешие туры']",8 дней,Гостиница,До 4 человек,12 лет,Минеральные Воды
5_2,Джип-тур по Карачаево-Черкессии,73000,Домбай,"['2024-05-26', '2024-05-30']",4.9,190,0.5,"Средний
Выше среднего",https://bolshayastrana.com/dombaj/dzhip-tur-ne-teryaj-vysoty-16819,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры']",5 дней,Гостиница,До 12 человек,12 лет,г. Минеральные Воды
5_3,Магия Соловецких островов,49000,Архангельская область,"['2024-05-27', '2024-05-31']",4.9,92,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/magiya-soloveckih-ostrovov-16685,['Экскурсионные туры'],5 дней,Гостиница,До 40 человек,7 лет,г. Кемь
5_6,Святая легенда. Гранд-тур на Соловецкие острова,59500,Архангельская область,"['2024-05-27', '2024-06-03']",4.9,90,0.25,Средний,https://bolshayastrana.com/arhangelskaya-oblast/arhipelag-solovki-svyataya-legenda-grand-tur-na-soloveckie-ostrova-16684,['Экскурсионные туры'],8 дней,Гостиница,До 30 человек,5 лет,г. Кемь
